rubro,codigo,descripcion
galletitas,7894636,Galletitas marineras sin sal
galletitas,7894645,Paseo 5 semillas
galletitas,7894646,Galletas de arroz Ceral con sal
galletitas,7894647,Galletas de arroz Ceral dulces
galletitas,7894648,Terrabusi chocolate 300g
galletitas,7894669,grisinopoli malteados 180g
galletitas,7894670,grisinopoli  salvado 180g
galletitas,7894732,Terrabusi Variedad 390g
galletitas,7894770,Magdalenas marmoladas
galletitas,7894797,principito con pepas de girasol 160g
galletitas,7894799,Polvorita frutilla
galletitas,7894800,Polvorita vainilla
galletitas,7894801,Polvorita vainilla rojo
galletitas,7894813,galletitas toddy rellenas 150 grs
galletitas,7894814,hogareñas de salvado x 90 grs
galletitas,7894849,vainillas sweet cookies
galletitas,7894877,Tostadas de arroz risky dulces
galletitas,7894886,Yayita Fantoche con pepitas
galletitas,7894895,bizcochitos con lino y chia alem 190 grs
galletitas,7894958,Galletitas Cofler Block
galletitas,7894991,Opera Remix Chocolate 67g
galletitas,7894992,Opera Remix Frutilla 67g
galletitas,7894997,Milka Mousse galletitas
galletitas,7894998,Milka Mousse Chocolate galletitas
galletitas,7895032,Bizcochos Alem Clasicos 170g
galletitas,7895033,Alem Queso 150g
galletitas,7895034,Bizcochitos Alem Queso 170g
galletitas,7895035,Alem Malteadas 150g
galletitas,7895049,Oblea Champagne Frutilla Vainilla 52g
galletitas,7895062,Madalenas Dulcypas marmoladas 250g
galletitas,7895063,Madalenas Dulcypas con chips de chocolate 225g
galletitas,7895064,Madalenas Dulcypas dulce de leche
galletitas,7895065,Madalenas Dulcypas vainilla
galletitas,7895066,Madalenas Dulcypas chocolate rell DDL
galletitas,7895070,Pitusas Merengue 120g
galletitas,7895071,Pitusas Jalea 140g
galletitas,7895113,Cerealitas manzana+canela 231g
galletitas,7895116,Media Tarde x 3 un
galletitas,7895117,Tostadas de Arroz Risky Dit
galletitas,7895138,donnuts naranja
galletitas,7895207,Okebon Molino Natural Avena y granola 236g
galletitas,7895208,Okebon Molino Natural 10 Semillas 231g
galletitas,7895246,TODDY 126G
galletitas,7895257,Opera Bon o Bon 97g
galletitas,7895286,Pitillos Bañados 60g
galletitas,7895289,Tostadas Criollitas Salvado 200g
galletitas,7895295,Cereal Mix Frutilla y Chia 207g
galletitas,7895298,Passatempo Nestle chocolate 130g
galletitas,7895322,Budin Bagley sin frutas
galletitas,7895323,Budin Limon Artesanal 160g
galletitas,9540494,Toddy 126g
galletitas,9540504,Macucas Chocolate 110g
galletitas,9540513,Variedad premium 400g
galletitas,9540516,Galletitas Canvoy Bandejita
galletitas,9540517,Mana Rellenas Vainillas
galletitas,9540518,Mana rellenas frutilla 152g
galletitas,9540582,Gaona crunchips
galletitas,9540593,Crunchips marroc 172g
galletitas,9540619,Cereal mix galletita manzana 180g
galletitas,9540620,Cereal mix galletitas avena y pasas 180g
galletitas,9540621,Cereal mix galletita chocolate 180g
galletitas,9540639,Madgalenas don Satur Marmoladas
galletitas,9540660,Okebon Naranja y chips 238g
galletitas,9540661,Okebon Avena y pasas
galletitas,9540693,Magdalenas Bicolor Gaona 200g
galletitas,9540708,Alem malteadas lino y chia 150g
galletitas,9540709,Triangulitos de hojaldre mafalda
galletitas,9540755,Variedad terrabusi chica 170g
galletitas,9540757,frutigram tropical 175g
galletitas,9540765,Dos hermanos galleta arroz saladas
